,Pageviews,Unique Pageviews,user,repo,ref
425,3,2,sameerbhatnagar,ai-certificate,master
426,3,3,SBRG,ssbio,master
427,3,2,serithemage,2017_csat_mathematics_type_ga,master
428,3,1,synw,dataswim-notebooks,master
429,3,1,ubcgif,gpgLabs,master
430,3,2,Unidata,unidata-python-workshop,master
431,3,3,uribo,binder_demo,master
432,3,1,user,miykael-nipype_tutorial-sk0z8uba,tree
433,3,3,YaleATLAS,CERNDeepLearningTutorial,master
434,2,2,4QuantOSS,DashIntro,master
435,2,2,4QuantOSS,scijava-jupyter-kernel,master
436,2,2,a-slide,presentation_mybinder,master
437,2,2,AeroPython,Curso_AeroPython,master
438,2,2,aforech,ifes-cpp,master
439,2,1,aforechi,ifes-ccp,master
440,2,1,aforechi,ifesicpp,master
441,2,1,aittalam,Lorenzo,master
442,2,2,AllenDowney,ProbablyOverthinkingIt,master
443,2,1,amitkaps,hackermath,master
444,2,2,AndreGaathaug,Teknisk_sikkerhet,master
445,2,1,angelachieh,JustML-notebooks,master
446,2,1,angelachieh,JustML-notebooks,master
447,2,1,arm61,isistrainingcourse_ mar2018,aster
448,2,2,binder-examples,julia_python,master
449,2,2,binder-examples,latex,master
450,2,1,binder-examples,requirements,master
451,2,2,bio-phys,PyDHAMed,master
452,2,1,birnstiel,twopoppy-demo,master
453,2,2,bloomberg,bqplot,master
454,2,1,bloomberg,bqplot,master
455,2,2,bpesquet,deep-learning-workshop,master
456,2,1,bradkav,WIMpy_NREFT,master
457,2,1,brian-team,brian2-binder,master
458,2,2,brian-team,brian2-binder,master
459,2,1,brian-team,brian2-binder,master
460,2,1,brian-team,brian2-binder,master
461,2,1,Bultako,gammapy-extra,master
462,2,2,CartoDB,cartoframes,binder-examples
463,2,1,CartoDB,cartoframes,binder-examples
464,2,2,cgre-aachen,bayseg,master
465,2,2,clawpack,riemann_book,master
466,2,2,cmbant,getdist,master
467,2,2,cms-opendata-education,cms-rmaterial-multiple-languages,master
468,2,2,cserti,optika,master
469,2,1,data-8,textbook,gh-pages
470,2,2,data-8,textbook,gh-pages
471,2,2,davidrpugh,numerical-methods,master
472,2,1,dib-lab,MMETSP,master
473,2,1,dibakarbose,DataScience,master
474,2,1,ecell,ecell4-notebooks,master
475,2,1,ellisonbg,ipyleaflet,master
476,2,2,emehrkay,Pypher,master
477,2,1,erikcs,TA,master
478,2,2,everhartlab,SscPhenoProj,master
479,2,1,eXtremeGravityInstitute,LISA_Sensitivity.git,master
480,2,2,eXtremeGravityInstitute,LISA,_Sensitivity/master
481,2,2,fbkarsdorp,rug-coding-intro,master
482,2,1,feststelltaste,software-analytics,master
483,2,1,feststelltaste,software-analytics,master
484,2,2,FlorianWilhelm,distvis,master
485,2,1,friedrichknuth,pisces,master
486,2,2,geoscixyz,em_apps,master
487,2,1,geoscixyz,em_apps,master
488,2,2,geoscixyz,em_apps,master/
489,2,1,gtarabat,differential_privacy,master
490,2,1,gte620v,PythonTutorialWithJupyter,master
491,2,1,guyemerson,intro,master
492,2,2,https:,,gitlab.lrde.epita.fr/adl/binder-test.git/master
493,2,1,https:,gist.github.com,LOHMgit/e57415c3dab2de735e9a0a09617714b3
494,2,1,jakevdp,WhirlwindTourOfPython,master
495,2,2,jgomezdans,photosynthesis_practical,master
496,2,2,jtpio,p5-jupyter-notebook,master
497,2,2,justmarkham,scikit-learn-videos,master
498,2,2,jwkvam,plotlywrapper,master
499,2,2,kellieotto,test-book,master
500,2,2,kellieotto,test-book,master
501,2,1,kstrauch94,Crime-Prediction-with-Tweets,master
502,2,2,liam2,larray,0.28-dev
503,2,1,lknelson,reproducibility-example,master
504,2,1,marccanby,hack-rice-tutorial.git,master
505,2,2,masedki,moocRchap02,master
506,2,1,materialsvirtuallab,matgenb,master
507,2,1,mcvine,training,master
508,2,2,mdeff,ntds_2017,outputs
509,2,1,minrk,jupyter-day-orsay-2018,9efd61f0fe5d92ce52acdaf66ee3632211003d2c
510,2,2,minrk,jupyter-day-orsay-2018,master
511,2,2,miykael,create_fake_fmri_results,master
512,2,2,MlleMargauxLedieu,Simple-ML-Algorithms.git,master
513,2,2,mmoelter,Phys133,master
514,2,2,mmoelter,Phys133,master
515,2,2,mmorini,langevosfi,python
516,2,2,mmorini,langevosfi,python
517,2,2,mossmatters,PhyPartsPieCharts,master
518,2,1,mpbeu,Intro,master
519,2,1,nikizadehgfdl,Data-Science-45min-Intros,master
520,2,1,norvig,pytudes,master
521,2,1,npscience,TIL,master
522,2,1,nteract,papermill,master
523,2,2,nteract,vdom,master
524,2,2,opengridcc,opengrid-demo,master
525,2,2,opengridcc,opengrid-demo,master
526,2,2,opengridcc,opengrid-demo,master
527,2,2,openPMD,openPMD-viewer,master
528,2,2,pymc-devs,resources,master
529,2,2,pynucastro,pynucastro,master
530,2,2,qmisr,mis492,master
531,2,1,qq1074123922,deepschool.io,master
532,2,1,QuantStack,xeus-cling,0.0.6
533,2,2,QuantStack,xeus-cling,0.1.0-binder
534,2,1,QuantStack,xplot,0.3.0-binder
535,2,2,QuantStack,xplot,0.4.0-binder2
536,2,2,restrepo,generic_binder,master
537,2,1,RicaMeg,PlayitAgain,master
538,2,2,RobInLabUJI,ROS-Stage,master
539,2,1,romische,jupyter-notebook-test,master
540,2,2,rparrapy,lime-demo,master
541,2,1,rprimet,test_note,master
542,2,1,sagemath,sage-binder-env,master
543,2,2,samoturk,mol2vec_notebooks,master
544,2,1,scienceetonnante,GameOfLife,master
545,2,2,SCPSscience,Notebooks,master
546,2,1,sebasguts,GAPBinderDemo,master
547,2,2,sidubois,mapr2451,master
548,2,2,Simonbiggs,electroninserts_bundle,master
549,2,1,simonsfoundation,jp_svg_canvas,master
550,2,1,simonsfoundation,Th17_TRN_Networks,master
551,2,2,sjoerddehaan,ml-course-2018,master
552,2,1,skuschel,postpic,ipynb-tutorial
553,2,1,sofroniewn,mesoscope,master
554,2,1,spatialaudio,nbsphinx,0.3.1
555,2,1,spatialaudio,nbsphinx,0.3.1
556,2,1,spatialaudio,nbsphinx,0.3.1
557,2,2,StingraySoftware,notebooks,master
558,2,2,strongdan,HarvardX-PH526x-Using-Python-for-Research,master
559,2,2,sumandoc,Perl-6-notebook,master
560,2,2,swchen888,exploratory_computing_with_python,master
561,2,2,takluyver,mobilechelonian,master
562,2,1,tdhopper,notes-on-dirichlet-processes,master
563,2,1,telescopeuser,deepschool.io,master
564,2,2,terna,SLAPP3,master
565,2,1,thierrymondeel,FBA_python_tutorial,master
566,2,1,tlinnet,drawnmr,master
567,2,2,tonyfujs,dkanr,master
568,2,2,topocm,topocm_content,master
569,2,1,tpoisot,ScientificComputingForTheRestOfUs,master
570,2,2,TravisRobson,LISA_Sensitivity,master
571,2,1,Tsintsuntsini,PHYS_581,master
572,2,2,tyrion,fqi-lqg,master
573,2,2,ubcgif,gpgLabs,master
574,2,1,ubcgif,gpgLabs,master
575,2,2,ubcgif,gpgLabs,master
576,2,2,wildtreetech,explore-open-data,master
577,2,2,willb,probabilistic-structures,master
578,2,2,yandexdataschool,Practical_RL.git,master
579,2,1,yeatmanlab,Sarica_2017,gh-pages
580,2,2,yuvipanda,simplejl,master
581,2,1,,v2,git/https://gitlab.lrde.epita.fr/adl/binder-test.git/05b742522a60dcf076d9d1b23fde618c15369912
582,1,1,,translate_c?act=url&depth=1&hl=es&ie=UTF8&prev=_t&rurl=translate.google.es&sl=en&sp=nmt4&tl=zh-CN&u=https:,/mybinder.orgbetatim/openrefineder/master
583,1,1,,transpage?cb=translateCallback&ie=utf8&source=url&query=https:,/mybinder.orgjupyterlab/jupyterlab-demo/master
584,1,1,247Stef,Test,master
585,1,1,4QuantOSS,Augmentor,master
586,1,1,4QuantOSS,DashIntro,master
587,1,1,4QuantOSS,DashIntro,master
588,1,1,4QuantOSS,DashIntro,master
589,1,1,4QuantOSS,FastPhotoStyle,master
590,1,1,abisee,movie-recommender,master
591,1,1,acasti7,Bayes-GP_demos,master
592,1,1,AeroPython,PyFME,master
593,1,1,aflaxman,mental_disorders_in_conflict_replication_archive,master
594,1,1,aforechi,ifes-cpp,MASTER
595,1,1,agile-geoscience,notebooks,master
596,1,1,aimacode,aima-python,master
597,1,1,akhil-singh007,temporary.git,master
598,1,1,akhmerov,20_minutes_intro_to_python,master
599,1,1,akoslaczko,binder-notebooks,master
600,1,1,alexlib,openpiv-python-example,master
601,1,1,AllenDowney,fluent-python-notebooks,master
602,1,1,AllenDowney,ThinkComplexity2,master
603,1,1,allendowney,thinkdsp,master
